id	dname	chembl_id	inchikey	smiles	cleaned_smiles	alternative_smiles	smiles_cleanup_status	canonical_smiles
15	Lapatinib	CHEMBL554	BCFGMOOMADDAQU-UHFFFAOYSA-N	CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl	CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl		original	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
16	MK-2206	CHEMBL1079175	ULDXWLCXEDXJGE-UHFFFAOYSA-N	C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N	C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N		original	NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
17	MK-4541		OGBFNZPDLOPGEO-OCWMMRLVSA-N	CC12CCC3C(C1CCC2NC(=O)OCC(F)(F)F)CCC4C3(C=CC(=O)N4C)C	CC12CCC3C(C1CCC2NC(=O)OCC(F)(F)F)CCC4C3(C=CC(=O)N4C)C		original	CN1C(=O)C=CC2(C)C3CCC4(C)C(NC(=O)OCC(F)(F)F)CCC4C3CCC12
18	Niraparib	CHEMBL1094636	PCHKPVIQAHNQLW-CQSZACIVSA-N	C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N	C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N		original	NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
19	MK-5108	CHEMBL3182444	LCVIRAZGMYMNNT-UHFFFAOYSA-N	C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O	C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O		original	O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
20	Deforolimus	CHEMBL2103839	BUROJSBIWGDYCN-GAUTUEMISA-N	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OP(=O)(C)C)C)C)O)OC)C)C)C)OC	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OP(=O)(C)C)C)C)O)OC)C)C)C)OC		original	COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
21	891494-63-6	CHEMBL2386889	GMIZZEXBPRLVIV-SECBINFHSA-N	CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4	CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4		original	Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
22	MRK003	CHEMBL196215	NKHUILHBYOOZDF-NCOIWELASA-N	C1CC2CC3=C(CC1C24CN(S(=O)(=O)N4)CC(F)(F)F)C=CC(=C3)C=CCN5CCC(CC5)C(F)(F)F	C1CC2CC3=C(CC1C24CN(S(=O)(=O)N4)CC(F)(F)F)C=CC(=C3)C=CCN5CCC(CC5)C(F)(F)F		original	O=S1(=O)NC2(CN1CC(F)(F)F)C1CCC2Cc2cc(C=CCN3CCC(C(F)(F)F)CC3)ccc2C1
23	metformin	CHEMBL1431	XZWYZXLIPXDOLR-UHFFFAOYSA-N	CN(C)C(=N)N=C(N)N	CN(C)C(=N)N=C(N)N		original	CN(C)C(=N)N=C(N)N
24	methotrexate	CHEMBL34259	FBOZXECLQNJBKD-ZDUSSCGKSA-N	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O		original	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
25	mitomycin C	CHEMBL105	NWIBSHFKIJFRCO-WUDYKRTCSA-N	CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N	CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N		original	COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
26	391210-10-9	CHEMBL507361	SUDAHWBOROXANE-SECBINFHSA-N	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O		original	O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
27	paclitaxel	CHEMBL428647	RCINICONZNJXQF-MZXODVADSA-N	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C		original	CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
28	7-Ethyl-10-hydroxycamptothecin	CHEMBL837	FJHBVJOVLFPMQE-QFIPXVFZSA-N	CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)O	CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)O		original	CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
29	Sorafenib	CHEMBL1336	MLDQJTXFUGDVEO-UHFFFAOYSA-N	CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F	CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F		original	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
30	Sunitinib	CHEMBL535	WINHZLLDWRZWRT-ATVHPVEESA-N	CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C	CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C		original	CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C
31	temozolomide	CHEMBL810	BPEGJWRSRHCHSN-UHFFFAOYSA-N	CN1C(=O)N2C=NC(=C2N=N1)C(=O)N	CN1C(=O)N2C=NC(=C2N=N1)C(=O)N		original	Cn1nnc2c(C(N)=O)ncn2c1=O
32	topotecan	CHEMBL84	UCFGDBYHRUNTLO-QHCPKHFHSA-N	CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O	CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O		original	CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
33	vinblastine	CHEMBL159	JXLYSJRDGCGARV-CFWMRBGOSA-N	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O		original	CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
34	vinorelbine	CHEMBL553025	GBABOYUKABKIAF-IELIFDKJSA-N	CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC	CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC		original	CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2
35	Vorinostat	CHEMBL98	WAEXFXRVDQXREF-UHFFFAOYSA-N	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO		original	O=C(CCCCCCC(=O)Nc1ccccc1)NO
36	geldanamycin	CHEMBL278315	QTQAWLPCGQOSGP-KSRBKZBZSA-N	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC		original	COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
37	Fludarabine	CHEMBL1568	HBUBKKRHXORPQB-FJFJXFQQSA-N	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F		original	Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O
38	Abiraterone	CHEMBL254328	GZOSMCIZMLWJML-VJLLXTKPSA-N	CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O	CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O		original	CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12
39	allopurinol	CHEMBL1467	OFCNXPDARWKPPY-UHFFFAOYSA-N	C1=C2C(=NC=NC2=O)NN1; C1=NNC2=C1C(=O)NC=N2	C1=C2C(=NC=NC2=O)NN1	C1=NNC2=C1C(=O)NC=N2	selected_first_valid_semicolon_candidate	O=c1ncnc2[nH][nH]cc1-2
40	altretamine	CHEMBL1455	UUVWYPNAQBNQJQ-UHFFFAOYSA-N	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C		original	CN(C)c1nc(N(C)C)nc(N(C)C)n1
41	amifostine	CHEMBL1006	JKOQGQFVAUAYPM-UHFFFAOYSA-N	C(CN)CNCCSP(=O)(O)O	C(CN)CNCCSP(=O)(O)O		original	NCCCNCCSP(=O)(O)O
42	5-Aminolevulinic acid hydrochloride	CHEMBL1200582	ZLHFONARZHCSET-UHFFFAOYSA-N	C(CC(=O)O)C(=O)CN.Cl	C(CC(=O)O)C(=O)CN.Cl		original	Cl.NCC(=O)CCC(=O)O
43	anastrozole	CHEMBL1399	YBBLVLTVTVSKRW-UHFFFAOYSA-N	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N		original	CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
44	Axitinib	CHEMBL1289926	RITAVMQDGBJQJZ-FMIVXFBMSA-N	CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4	CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4		original	CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1
45	5-azacytidine	CHEMBL1489	NMUSYJAQQFHJEW-KVTDHHQDSA-N	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N		original	Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1
46	Bendamustine hydrochloride	CHEMBL1201734	ZHSKUOZOLHMKEA-UHFFFAOYSA-N	CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl	CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl		original	Cl.Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
47	Bleomycin sulfate		WUIABRMSWOKTOF-OCBSMOPSSA-N	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-]	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-]		original	Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1.O=S(=O)([O-])O
48	busulfan	CHEMBL820	COVZYZSDYWQREU-UHFFFAOYSA-N	CS(=O)(=O)OCCCCOS(=O)(=O)C	CS(=O)(=O)OCCCCOS(=O)(=O)C		original	CS(=O)(=O)OCCCCOS(C)(=O)=O
49	CABAZITAXEL	CHEMBL1201748	BMQGVNUXMIRLCK-OAGWZNDDSA-N	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC		original	COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C
50	CAPECITABINE	CHEMBL1773	GAGWJHPBXLXJQN-UORFTKCHSA-N	CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O	CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O		original	CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F
51	carmustine	CHEMBL513	DLGOEMSEDOSKAD-UHFFFAOYSA-N	C(CCl)NC(=O)N(CCCl)N=O	C(CCl)NC(=O)N(CCCl)N=O		original	O=NN(CCCl)C(=O)NCCCl
52	celecoxib	CHEMBL118	RZEKVGVHFLEQIL-UHFFFAOYSA-N	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F		original	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
53	chlorambucil	CHEMBL515	JCKYGMPEJWAADB-UHFFFAOYSA-N	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl		original	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
54	Cladribine	CHEMBL1619	PTOAARAWEBMLNO-KVQBGUIXSA-N	C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O	C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O		original	Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
55	Clofarabine	CHEMBL1750	WDDPHFBMKLOVOX-AYQXTPAHSA-N	C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl	C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl		original	Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F
56	Crizotinib	CHEMBL601719	KTEIFNKAUNYNJU-GFCCVEGCSA-N	CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N		original	CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
57	CYTARABINE HYDROCHLORIDE	CHEMBL1256472	KCURWTAZOZXKSJ-JBMRGDGGSA-N	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl		original	Cl.Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
58	dacarbazine	CHEMBL476; CHEMBL1574179	OMJKFYKNWZZKTK-UXBLZVDNSA-N; OMJKFYKNWZZKTK-POHAHGRESA-N; FDKXTQMXEQVLRF-UHFFFAOYSA-N	CN(C)NN=C1C(=NC=N1)C(=O)N; CN(C)N=NC1=C(NC=N1)C(=O)N	CN(C)NN=C1C(=NC=N1)C(=O)N	CN(C)N=NC1=C(NC=N1)C(=O)N	selected_first_valid_semicolon_candidate	CN(C)NN=C1N=CN=C1C(N)=O
59	DACTINOMYCIN	CHEMBL1554	RJURFGZVJUQBHK-IIXSONLDSA-N	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C		original	Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
60	23541-50-6	CHEMBL1563	GUGHGUXZJWAIAS-QQYBVWGSSA-N	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O.Cl	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O.Cl		original	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1.Cl
61	Decitabine	CHEMBL1201129	XAUDJQYHKZQPEU-KVQBGUIXSA-N	C1C(C(OC1N2C=NC(=NC2=O)N)CO)O	C1C(C(OC1N2C=NC(=NC2=O)N)CO)O		original	Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1
62	Dexrazoxane	CHEMBL1738	BMKDZUISNHGIBY-ZETCQYMHSA-N	CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2	CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2		original	CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
