dname	id	chembl_id	inchikey	smiles	cid	molecular_formula	clinical_phase	cid_m	cid_s	stitch_name	drugbank_id	kegg_id	synonyms	target_name	target_type	valid_smiles	cleaned_smiles	alternative_smiles	smiles_cleanup_status	canonical_smiles	n_fragments	n_atoms	n_heavy_atoms	molecular_weight_rdkit	formal_charge
tanespimycin:bortezomib (250:1 mol/mol)	4572				0.0		0.0						tanespimycin:bortezomib (250:1 mol/mol)			False			missing						
tanespimycin:gemcitabine (1:1 mol/mol)	4573				0.0		0.0						tanespimycin:gemcitabine (1:1 mol/mol)			False			missing						
TCS2312 dihydrochloride	4574				0.0		0.0						TCS2312 dihydrochloride			False			missing						
THZ-2-102-1	4575				0.0		0.0						THZ-2-102-1			False			missing						
THZ-2-49	4576				0.0		0.0						THZ-2-49			False			missing						
TL-1-85	4577				0.0		0.0						TL-1-85			False			missing						
TL-2-105	4578				0.0		0.0						TL-2-105			False			missing						
tretinoin:carboplatin (2:1 mol/mol)	4579				0.0		0.0						tretinoin:carboplatin (2:1 mol/mol)			False			missing						
tretinoin:navitoclax (4:1 mol/mol)	4580				0.0		0.0						tretinoin:navitoclax (4:1 mol/mol)			False			missing						
Tykerb:IGF1R (1:1)	4582				0.0		0.0						Tykerb:IGF1R (1:1)			False			missing						
UNC0638:navitoclax (1:1 mol/mol)	4583				0.0		0.0						UNC0638:navitoclax (1:1 mol/mol)			False			missing						
VAF-347	4584				0.0		0.0						VAF-347			False			missing						
VNLG/124	4585				0.0		0.0						VNLG/124			False			missing						
vorinostat:carboplatin (1:1 mol/mol)	4586				0.0		0.0						vorinostat:carboplatin (1:1 mol/mol)			False			missing						
vorinostat:navitoclax (4:1 mol/mol)	4587				0.0		0.0						vorinostat:navitoclax (4:1 mol/mol)			False			missing						
WZ-1-84	4589				0.0		0.0						WZ-1-84			False			missing						
WZ3105	4590				0.0		0.0						WZ3105			False			missing						
XMD11-85h	4591				0.0		0.0						XMD11-85h			False			missing						
XMD13-2	4592				0.0		0.0						XMD13-2			False			missing						
XMD14-99	4593				0.0		0.0						XMD14-99			False			missing						
XMD15-27	4594				0.0		0.0						XMD15-27			False			missing						
ZG-10	4598				0.0		0.0						ZG-10			False			missing						
MEDI3622	4631			Antibody (MEDI3622)									MEDI3622			False			unresolved						
AZ13397262	4633												AZ13397262			False			missing						
AZ13453720	4634												AZ13453720			False			missing						
AZ13620596	4637												AZ13620596			False			missing						
AZ13479709	4638												AZ13479709			False			missing						
AZ13245620	4639												AZ13245620			False			missing						
MED-575	4641												MED-575			False			missing						
AZ12772848	4644												AZ12772848			False			missing						
TNF-Alpha	4645												TNF-Alpha			False			missing						
TRAIL	4646												TRAIL			False			missing						
AZ13590108	4647												AZ13590108			False			missing						
AZ13401366	4648												AZ13401366			False			missing						
AstraZeneca CHK1 inhibitor	4649												AstraZeneca CHK1 inhibitor			False			missing						
AstraZeneca SLC16A4 inhibitor	4650												AstraZeneca SLC16A4 inhibitor			False			missing						
AstraZeneca ATR_3 inhibitor	4651												AstraZeneca ATR_3 inhibitor			False			missing						
AstraZeneca PIP5K1 inhibitor	4652												AstraZeneca PIP5K1 inhibitor			False			missing						
LSN415169	4663												LSN415169			False			missing						
SrcI1	4664												SrcI1			False			missing						
vasastrol	4665												vasastrol			False			missing						
Mangafodipir (trisodium)	6530	CHEMBL2096651			122198135.0	C22H25MnN4Na3O14P2	4.0						Mangafodipir (trisodium); 140678-14-4; HY-B0993; CS-4487; MANGAFODIPIR TRISODIUM (200 MG)F0D2720.996MG/MG(AN)			False			missing						
Merbromine	6531	CHEMBL2097077			8505.0	C20H10Br2HgO6							Merbromine; Asceptichrome; Aseptichrome; Chromargyre; Fluorochrome; Gallochrome; Gynochrome; Mercuranine; Mercurochromum; Mercurocol; Mercurophage; Planochrome; Flavurol; Mercurome; DOMF; Merbromine [INN-French]; Merbrominum [INN-Latin]; Merbromina [INN-Spanish]; Mercurochrome-220 soluble; 2,7-Dibromo-4-hydroxymercurifluoresceine disodium salt; HSDB 6800; EINECS 204-933-6; Mercury, (2',7'-dibromo-3',6'-dihydroxy-3-oxospiro(isobenzofuran-1(3H),9'-(9H)xanthen)-4'-yl)hydroxy-, disodium salt; Disodium 2,7-dibrom-4-hydroxy-mercuri-fluorescein; Disodium 2',7'-dibromo-4'-(hydroxymercury)fluorescein; Disodium salt of 2,7-dibromo-4-hydroxymercurifluoresceine; Fluorescein, 2',7'-dibromo-4'-(hydroxymercurio)-, disodium salt; Merbromin [INN:NF]; DSSTox_CID_25545; DSSTox_RID_80946; DSSTox_GSID_45545; DTXSID0045545; HMS3714M16; Tox21_110738; CCG-220787			False			missing						
Gadobutrol	6756	CHEMBL2218860			72057.0	C18H31GdN4O9	4.0						Gadobutrol; 138071-82-6; SCHEMBL1651120			False			missing						
